character	frequency
的	1039
国	444
一	371
中	335
在	298
大	260
年	236
人	220
是	220
家	213
十	206
有	206
不	200
了	189
为	179
发	163
行	158
高	157
新	156
和	154
会	145
以	138
这	135
对	134
要	131
业	129
上	126
经	124
地	122
时	116
来	115
出	110
日	110
五	110
九	110
成	109
资	107
个	107
台	107
三	106
民	105
二	102
百	101
之	100
市	99
金	97
也	97
我	96
公	95
多	94
作	93
得	91
政	91
客	91
世	89
们	89
楼	88
长	87
到	84
动	84
说	83
加	83
美	82
进	82
外	82
月	81
开	81
现	81
机	80
可	80
展	79
法	79
将	78
界	78
战	78
共	77
合	76
用	76
分	76
场	73
工	73
建	73
全	73
电	72
部	71
今	70
定	70
武	70
八	70
过	69
产	69
华	67
力	67
就	67
最	66
主	65
自	65
第	64
其	64
制	63
科	63
重	62
都	62
际	61
区	60
前	60
度	60
事	60
天	59
与	59
融	59
社	58
元	58
保	58
拉	58
点	58
证	58
已	57
生	57
所	57
伊	57
军	57
竹	57
四	56
但	56
克	56
实	56
而	55
如	55
文	55
者	54
强	54
面	54
企	54
济	53
等	53
方	53
总	53
特	53
北	53
米	53
次	52
本	52
员	52
并	52
构	52
银	51
能	51
子	50
下	50
比	50
湾	50
后	49
达	49
关	48
利	48
规	48
统	48
小	48
亚	47
及	47
里	47
各	46
完	46
代	46
七	46
学	46
提	45
调	45
起	45
表	45
化	45
量	44
同	44
目	44
名	44
立	44
赛	44
于	43
理	43
西	43
结	43
海	43
物	43
他	42
持	42
因	42
司	42
心	42
粉	42
投	41
间	41
门	41
举	41
原	41
然	41
核	41
当	40
六	40
券	40
争	39
技	39
团	39
运	39
改	38
品	38
据	38
正	38
体	38
水	38
解	37
府	37
由	37
去	37
很	37
平	37
增	36
万	36
选	36
系	36
层	36
入	35
管	35
南	35
内	35
使	35
器	34
超	34
谷	34
相	33
青	33
种	33
被	33
计	33
性	33
欧	33
样	33
认	32
设	32
从	32
别	32
两	32
京	32
弹	32
球	32
洲	31
近	31
务	31
步	31
城	31
期	31
此	31
标	31
风	31
放	30
更	30
还	30
集	30
安	30
感	30
权	30
饼	30
位	29
通	29
协	29
略	29
房	29
续	28
商	28
营	28
联	28
口	28
广	28
准	28
受	28
历	28
研	27
斯	27
牌	27
布	27
确	27
议	27
接	27
明	27
手	27
贡	26
记	26
革	26
基	26
报	26
查	26
处	26
林	26
於	26
指	25
约	25
组	25
尔	25
千	25
又	25
先	25
好	25
意	25
教	25
澳	25
造	24
问	24
题	24
头	24
式	24
知	24
纪	24
至	24
义	24
讲	24
创	23
亿	23
港	23
光	23
转	23
话	23
带	23
族	23
队	23
雄	23
积	22
施	22
取	22
老	22
情	22
类	22
示	22
或	22
几	22
灾	22
省	22
住	22
户	22
反	22
道	22
尺	22
筑	22
速	21
势	21
导	21
交	21
些	21
应	21
参	21
汉	21
峡	21
支	21
东	21
居	21
看	21
较	21
著	21
委	21
没	21
复	21
己	21
冠	21
极	20
继	20
推	20
环	20
境	20
兴	20
直	20
程	20
活	20
形	20
引	20
则	20
件	20
常	20
传	20
太	20
即	20
章	20
空	20
籍	20
语	20
言	19
回	19
究	19
首	19
每	19
向	19
织	19
包	19
模	19
获	19
项	19
任	19
护	19
它	19
只	19
史	19
像	19
育	19
後	19
麽	19
丸	19
吃	19
未	18
香	18
存	18
决	18
食	18
型	18
该	18
始	18
藏	18
预	18
望	18
格	18
英	18
视	18
群	18
乒	18
深	17
严	17
除	17
裁	17
治	17
底	17
数	17
办	17
做	17
局	17
周	17
适	17
张	17
款	17
打	17
危	17
书	17
让	17
少	17
论	17
策	16
供	16
股	16
收	16
江	16
条	16
无	16
划	16
单	16
信	16
阿	16
装	16
士	16
评	16
变	16
币	15
巴	15
罗	15
飞	15
测	15
算	15
采	15
告	15
图	15
术	15
切	15
你	15
龙	14
息	14
着	14
素	14
需	14
考	14
观	14
括	14
具	14
态	14
许	14
紧	14
见	14
份	14
整	14
真	14
伯	14
根	14
晚	14
令	14
再	14
防	14
迎	14
尼	14
段	14
夺	14
瑞	14
例	14
斌	14
随	13
维	13
且	13
仍	13
才	13
身	13
察	13
率	13
另	13
称	13
专	13
象	13
难	13
非	13
列	13
肉	13
村	13
足	13
果	13
命	13
何	13
止	13
枚	13
女	13
虽	13
演	13
远	13
识	13
却	13
什	13
店	13
堑	13
领	12
刚	12
求	12
岛	12
扩	12
影	12
兼	12
批	12
销	12
酒	12
双	12
险	12
野	12
珍	12
院	12
值	12
久	12
差	12
照	12
满	12
副	12
责	12
承	12
密	12
早	12
半	12
挑	12
精	12
充	12
震	12
念	12
杯	12
秒	12
狮	12
栋	12
乐	11
届	11
快	11
竞	11
源	11
货	11
浦	11
料	11
普	11
验	11
范	11
连	11
待	11
祖	11
初	11
威	11
击	11
声	11
抗	11
射	11
功	11
塞	11
节	11
舞	11
注	11
愿	11
启	11
限	11
陆	11
容	11
请	11
献	10
荣	10
益	10
贸	10
易	10
够	10
稳	10
落	10
财	10
庆	10
李	10
优	10
介	10
响	10
星	10
备	10
希	10
额	10
那	10
山	10
临	10
按	10
质	10
失	10
兹	10
候	10
述	10
服	10
线	10
胜	10
松	10
觉	10
闽	10
绍	9
景	9
既	9
况	9
给	9
购	9
破	9
占	9
断	9
试	9
细	9
曾	9
围	9
必	9
均	9
座	9
寒	9
良	9
阳	9
路	9
价	9
马	9
显	9
效	9
春	9
措	9
低	9
想	9
致	9
仅	9
束	9
流	9
剧	9
附	9
健	9
她	9
志	9
校	9
招	9
鲁	9
便	9
录	9
郭	9
赢	9
账	9
歌	9
戴	8
讨	8
归	8
弱	8
级	8
监	8
印	8
卡	8
把	8
升	8
气	8
啤	8
厂	8
热	8
季	8
干	8
杀	8
古	8
羊	8
宗	8
授	8
肃	8
减	8
消	8
违	8
绝	8
遇	8
色	8
岁	8
航	8
斗	8
席	8
叫	8
版	8
坚	8
律	8
假	8
曼	8
终	8
友	8
欢	8
滑	8
乓	8
习	8
透	8
亲	8
班	8
号	8
域	7
谈	7
础	7
潜	7
喜	7
车	7
养	7
访	7
突	7
湖	7
吁	7
遭	7
唐	7
拔	7
角	7
草	7
染	7
甘	7
幅	7
免	7
宅	7
签	7
伤	7
担	7
宣	7
烈	7
攻	7
火	7
顿	7
阻	7
思	7
跟	7
努	7
陈	7
昂	7
边	7
往	7
驻	7
众	7
师	7
韩	7
案	7
锦	7
盖	7
葡	7
萄	7
牙	7
付	7
留	7
绩	7
冬	7
排	7
依	7
旅	7
探	7
闰	7
吴	7
善	7
助	7
忘	7
白	7
讯	7
穴	7
唱	7
摩	7
帝	7
幕	7
煮	7
摊	7
夫	6
泽	6
惠	6
波	6
控	6
累	6
逐	6
左	6
呼	6
牛	6
若	6
典	6
压	6
倒	6
乡	6
镇	6
困	6
降	6
潮	6
顾	6
党	6
仪	6
云	6
巡	6
避	6
甚	6
翻	6
诞	6
俱	6
闻	6
醒	6
扮	6
宇	6
判	6
互	6
债	6
奥	6
血	6
土	6
康	6
移	6
窄	6
雅	6
隐	6
冲	6
霸	6
页	6
吾	6
摄	6
呢	6
块	6
尝	6
梯	6
厦	6
蒸	6
庙	6
姆	5
兰	5
拥	5
择	5
音	5
促	5
刘	5
石	5
迅	5
跨	5
末	5
独	5
配	5
右	5
越	5
固	5
坏	5
植	5
稀	5
羚	5
牦	5
雪	5
宝	5
农	5
棉	5
零	5
吉	5
贷	5
费	5
买	5
状	5
胁	5
凡	5
死	5
亡	5
享	5
勒	5
析	5
走	5
炮	5
乎	5
损	5
儿	5
缺	5
禁	5
恢	5
趋	5
奋	5
须	5
杰	5
圣	5
予	5
清	5
冷	5
静	5
似	5
馆	5
换	5
阶	5
彻	5
针	5
盟	5
午	5
网	5
辛	5
央	5
男	5
雨	5
谁	5
负	5
释	5
纳	5
熟	5
慢	5
登	5
绘	5
璇	5
叶	5
御	5
纺	5
撼	5
怪	5
恃	5
田	5
譬	5
戏	5
纽	5
抢	5
味	5
渊	5
隍	5
福	4
繁	4
哈	4
托	4
唯	4
顶	4
董	4
沿	4
吨	4
综	4
伟	4
审	4
退	4
猎	4
花	4
油	4
猪	4
顺	4
屋	4
齐	4
毁	4
谓	4
饱	4
炸	4
母	4
黄	4
袭	4
兵	4
爆	4
警	4
板	4
征	4
履	4
散	4
绕	4
纷	4
篇	4
守	4
概	4
字	4
激	4
频	4
敦	4
障	4
滚	4
惊	4
乱	4
彼	4
县	4
博	4
检	4
闭	4
宽	4
含	4
尊	4
富	4
蒂	4
娜	4
德	4
索	4
误	4
钟	4
辞	4
洪	4
害	4
盛	4
尤	4
诚	4
陕	4
皮	4
写	4
悄	4
寇	4
读	4
忽	4
雷	4
邱	4
哪	4
卖	4
轻	4
靠	4
茶	4
隔	4
祥	4
休	4
闲	4
红	4
街	4
巷	4
炊	4
圆	4
挥	3
急	3
佐	3
芬	3
听	3
汽	3
弗	3
劲	3
售	3
州	3
冰	3
截	3
颁	3
暂	3
税	3
套	3
室	3
孙	3
怀	3
汇	3
熊	3
盘	3
殊	3
挖	3
垃	3
圾	3
污	3
骨	3
披	3
估	3
材	3
菜	3
微	3
片	3
裂	3
侵	3
谴	3
犯	3
朝	3
卫	3
萨	3
援	3
苦	3
借	3
秘	3
触	3
旋	3
停	3
刻	3
崩	3
蒙	3
摇	3
拒	3
赞	3
辉	3
陷	3
抓	3
倍	3
距	3
灵	3
脉	3
握	3
搞	3
径	3
赶	3
骤	3
召	3
宁	3
祝	3
余	3
吧	3
神	3
荷	3
宾	3
坐	3
练	3
碍	3
职	3
劳	3
贯	3
遍	3
隆	3
兑	3
旧	3
编	3
短	3
操	3
笑	3
棋	3
峻	3
掉	3
夏	3
符	3
否	3
申	3
肯	3
楚	3
丰	3
河	3
灯	3
训	3
修	3
黎	3
喻	3
穿	3
露	3
誉	3
韧	3
永	3
礼	3
逃	3
旦	3
官	3
巧	3
岸	3
鼓	3
励	3
掌	3
磁	3
遥	3
眼	3
坡	3
庄	3
敢	3
吗	3
薯	3
芋	3
啦	3
旁	3
淑	3
芝	3
哥	3
钢	3
苏	3
塔	3
帷	3
浆	3
摆	3
巨	3
窗	3
脚	3
汤	3
游	3
锅	3
馅	3
梳	3
延	2
奇	2
佩	2
辖	2
寻	2
胶	2
饮	2
柱	2
异	2
扬	2
箱	2
允	2
瞩	2
焦	2
玉	2
渐	2
亟	2
践	2
冯	2
腹	2
属	2
畜	2
漠	2
菲	2
虑	2
谭	2
药	2
牧	2
倾	2
暖	2
绿	2
订	2
封	2
衰	2
乃	2
旗	2
尽	2
擅	2
酝	2
酿	2
沙	2
轰	2
艘	2
舰	2
冻	2
濒	2
溃	2
童	2
妇	2
拿	2
烟	2
派	2
遏	2
撰	2
俄	2
煌	2
墨	2
猛	2
树	2
阵	2
瓦	2
署	2
缔	2
耀	2
伦	2
昨	2
剑	2
莱	2
麦	2
毛	2
猩	2
脑	2
背	2
鲜	2
鹏	2
壮	2
覆	2
培	2
执	2
赫	2
渡	2
帐	2
票	2
硬	2
辑	2
铜	2
残	2
奖	2
疑	2
弥	2
序	2
拓	2
跌	2
宜	2
邓	2
默	2
韦	2
茨	2
琳	2
滕	2
娅	2
扎	2
鉴	2
映	2
播	2
衡	2
循	2
振	2
荡	2
徒	2
狭	2
鱼	2
罕	2
涝	2
聚	2
巩	2
懈	2
伍	2
厅	2
纠	2
妥	2
追	2
帮	2
幢	2
崭	2
温	2
堤	2
搬	2
捐	2
亏	2
偏	2
故	2
尚	2
峰	2
惯	2
络	2
抵	2
惜	2
厚	2
置	2
