word	frequency
the	125220
a	60451
of	58756
to	57828
be	55380
in	43093
and	42886
that	24994
say	24385
have	21946
for	21598
it	15380
on	13126
mr.	12396
he	12235
as	12177
with	11617
by	11507
at	11492
from	10705
company	9984
million	9791
its	9739
much	9483
will	8193
but	7939
year	7916
they	7564
this	6750
new	6700
share	6342
would	6179
do	6012
about	5983
or	5915
his	5498
which	5460
u.s.	5091
bank	4725
their	4672
stock	4536
who	4505
market	4455
other	4440
one	4389
we	4347
than	4255
also	4203
some	4120
last	4084
price	3978
inc.	3729
make	3640
up	3532
president	3461
corp.	3449
billion	3413
i	3360
sale	3169
not	3128
if	3070
rate	2917
plan	2914
when	2906
could	2895
co.	2863
increase	2859
government	2853
all	2818
may	2771
two	2750
there	2716
business	2696
can	2670
sell	2670
first	2669
time	2633
after	2626
because	2576
group	2567
official	2476
month	2460
report	2410
use	2410
such	2406
she	2396
executive	2385
little	2370
trading	2351
out	2333
expect	2308
into	2295
include	2281
security	2267
many	2261
any	2254
get	2247
unit	2227
close	2195
early	2191
york	2178
over	2154
interest	2152
person	2149
well	2146
issue	2145
recent	2126
exchange	2123
industry	2117
only	2113
now	2088
you	2079
sol	2064
take	2060
what	2028
buy	1995
concern	1983
state	1979
week	1968
yesterday	1964
american	1957
analyst	1914
no	1887
under	1879
late	1871
offer	1856
investment	1848
current	1840
pay	1840
trade	1836
day	1831
tax	1815
firm	1808
fund	1807
federal	1799
own	1798
large	1776
part	1734
even	1724
general	1716
chairman	1712
investor	1705
chief	1697
cost	1666
service	1631
big	1620
national	1591
before	1586
product	1581
debt	1577
common	1574
bond	1572
end	1553
while	1550
decline	1548
oil	1530
change	1516
rose	1512
board	1492
financial	1492
since	1484
add	1482
country	1481
work	1478
three	1470
public	1453
call	1447
although	1446
system	1446
through	1441
move	1435
international	1434
house	1428
against	1417
cent	1405
like	1404
down	1400
dollar	1398
hold	1397
major	1394
see	1370
court	1368
come	1361
law	1355
still	1341
continue	1337
charge	1333
operation	1319
want	1318
japanese	1318
loss	1312
director	1310
go	1304
just	1301
each	1301
know	1292
result	1288
should	1288
former	1285
way	1284
control	1280
give	1272
agreement	1271
total	1270
department	1269
begin	1265
future	1262
between	1259
program	1258
foreign	1256
march	1242
world	1238
both	1235
high	1235
help	1230
our	1225
however	1222
spokesman	1222
contract	1221
profit	1216
previous	1213
another	1209
problem	1205
agree	1199
loan	1197
money	1197
according	1186
lead	1186
value	1185
quarter	1174
officer	1167
good	1165
revenue	1155
capital	1154
vice	1151
note	1149
case	1148
acquire	1146
shareholder	1144
off	1138
several	1126
show	1117
need	1115
being	1113
management	1109
account	1101
finance	1095
name	1093
next	1089
purchase	1088
point	1086
back	1085
base	1085
how	1082
force	1079
become	1064
economic	1063
bid	1055
policy	1050
real	1045
operate	1038
right	1030
power	1022
seek	1021
raise	1018
japan	1017
gain	1016
long	1016
among	1014
maker	1013
receive	1009
stake	1005
meeting	999
reagan	996
ask	990
tell	989
aid	988
april	987
commission	983
here	982
holding	980
then	979
small	979
during	976
might	975
order	975
remain	974
annual	974
agency	971
asset	968
believe	963
member	962
acquisition	961
home	959
earning	956
think	953
computer	940
fell	939
few	938
where	936
office	936
too	933
plant	930
source	922
offering	920
average	915
spend	910
union	909
estimate	909
soviet	908
administration	907
very	906
consider	904
comment	902
number	899
provide	899
reduce	897
bill	894
party	884
past	883
possible	881
certain	880
vote	879
city	878
same	877
record	877
support	875
proposal	871
whether	870
credit	867
higher	867
net	865
run	865
strong	861
limit	850
committee	850
propose	848
income	848
insurance	845
look	840
already	837
term	833
west	832
cut	830
cash	825
job	822
start	818
going	815
effort	813
political	810
white	809
corporate	808
grow	807
until	807
four	807
line	801
growth	800
production	798
allow	798
reach	797
lower	796
talk	795
man	788
keep	788
private	786
old	776
level	776
manager	776
drop	775
rise	773
senior	773
airline	772
nation	772
ago	771
employee	768
drug	767
without	765
near	763
congress	763
rule	762
index	761
far	759
thing	757
british	752
sett	751
friday	751
trader	748
today	739
worker	737
transaction	736
seem	736
decision	736
require	736
involve	733
figure	728
put	724
street	720
return	719
approve	717
air	714
takeover	713
fall	713
outstanding	712
test	712
filing	711
announce	711
reserve	708
consumer	708
my	706
january	705
fiscal	700
june	700
great	693
defense	693
action	691
development	690
five	690
complete	685
likely	683
head	682
john	681
north	678
industrial	678
claim	676
must	675
question	675
place	675
gas	671
due	671
economy	670
life	669
wall	667
south	666
budget	665
payment	661
store	658
post	656
clear	656
demand	653
mean	651
position	650
second	649
news	643
prefer	643
further	642
energy	642
produce	638
measure	633
texas	631
arm	629
export	628
bring	625
turn	622
study	619
car	617
treasury	616
period	614
indicate	614
making	611
additional	611
leader	610
judge	609
local	608
partner	608
top	604
lawyer	604
six	601
file	600
america	600
customer	599
commercial	596
ltd.	594
appear	592
family	592
benefit	590
amount	588
deficit	585
research	583
import	582
labor	582
washington	581
equipment	581
example	581
option	579
february	578
information	576
face	575
open	574
project	573
form	570
holder	568
military	567
yet	564
supply	564
association	562
sign	555
act	554
robert	550
your	550
schedule	550
suit	548
lot	548
develop	548
full	547
despite	544
statement	539
effect	539
enough	538
reflect	538
found	535
around	532
view	532
minister	531
school	530
try	528
standard	528
never	528
disclose	528
meet	528
suggest	527
banker	527
pressure	526
university	525
create	524
compare	524
woman	523
attorney	523
reason	522
senate	521
addition	521
probable	520
separate	519
area	518
central	515
partnership	515
currency	514
utility	514
play	514
yield	513
trust	512
hope	512
food	511
producer	510
rather	510
almost	510
half	508
important	506
book	505
third	502
direct	500
domestic	496
war	495
building	495
composite	495
initial	493
approval	493
once	493
dividend	491
risk	489
investigation	484
hand	484
chemical	484
merger	483
deal	482
step	481
success	481
inflation	480
health	478
hour	477
personal	476
equity	475
within	475
trying	475
represent	474
division	474
letter	473
often	472
win	472
staff	471
ms.	471
find	469
mark	467
special	467
dealer	466
activity	464
center	464
canada	463
build	462
associate	461
class	461
canadian	460
sharp	459
whose	459
lose	459
improve	459
manage	457
similar	457
I	456
express	456
european	456
chicago	455
range	455
advance	455
final	454
soon	453
cause	453
technology	453
paper	451
feed	451
every	449
london	448
europe	448
available	447
low	447
network	446
follow	445
saving	444
volume	444
william	443
machine	442
auto	440
design	440
venture	437
care	437
boost	434
economist	434
allege	434
unite	433
fact	433
young	432
pound	431
expand	430
meanwhile	429
subject	428
write	426
legal	426
main	426
working	424
child	423
sec	422
left	421
data	420
heavy	419
release	419
process	418
citicorp	417
potential	416
matter	414
fear	414
san	409
television	408
western	408
role	407
delay	406
james	405
why	404
along	404
brother	404
again	404
cover	402
attempt	402
significant	402
fail	402
chrysler	402
individual	401
secretary	401
condition	401
merrill	399
instead	399
patient	399
manufacture	399
electronic	398
idea	395
itself	395
estate	395
bad	395
institution	394
december	394
manufacturer	393
equivalent	392
hospital	391
light	391
relate	389
july	389
brazil	389
send	388
iran	387
mine	387
subsidiary	387
particular	386
britain	386
accept	386
debenture	385
given	384
hard	384
election	383
away	383
long-term	382
monday	381
carry	381
factor	381
independent	380
german	380
following	378
outside	377
review	377
effective	376
nuclear	373
sen.	372
target	372
boston	372
retail	371
restructuring	371
california	371
poor	370
communication	370
performance	370
substantial	369
serious	369
gm	369
cite	369
electric	368
rep.	368
succeed	367
d.	367
toward	367
smith	366
campaign	366
argue	366
publish	365
motor	365
something	363
appeal	363
kind	362
able	362
gold	361
facility	360
rating	360
yen	360
pass	360
resource	359
simple	358
baker	357
lynch	356
medical	356
quick	356
construction	355
present	355
steel	355
pacific	354
ever	354
missile	354
col.	353
ton	353
conservative	353
fee	353
leave	353
saying	352
slow	351
tender	351
mortgage	350
commodity	350
convertible	350
tokyo	349
course	348
push	348
prime	348
mile	347
proceeds	347
taking	347
live	346
affair	345
tuesday	345
panel	345
short	345
free	345
apparent	344
predict	343
property	343
student	343
pension	342
trouble	342
fight	341
french	340
side	338
story	338
client	338
strategy	337
grant	337
request	337
contras	337
list	336
invest	336
stand	336
material	336
black	336
germany	335
owner	335
democrat	335
deny	334
parent	334
lease	332
richard	331
attack	330
percentage	329
ship	329
easy	329
exist	329
break	327
competition	327
different	327
buyer	327
dow	326
usual	326
earn	326
decided	325
david	325
balance	324
year-earlier	324
authority	323
slight	323
stop	323
institute	322
immediate	322
eight	321
justice	321
doing	320
above	320
aircraft	320
negotiate	320
feb.	320
joint	319
package	319
telephone	318
creditor	318
broker	318
democratic	318
provision	317
explain	317
natural	317
affect	317
detail	316
press	316
surge	315
engineer	315
morgan	315
jones	313
organization	313
los	313
field	312
corporation	312
legislation	312
model	311
stay	311
either	310
congressional	310
difficult	310
deposit	310
drive	309
film	309
damage	307
seven	307
ruling	307
relative	307
candidate	307
shearson	307
always	307
huge	307
ministry	306
basis	305
serve	305
card	305
surprise	305
prepare	304
adviser	304
especially	304
series	304
worry	304
opportunity	303
maintain	303
himself	303
announcement	303
favor	302
thought	302
summer	302
resign	301
interview	301
usair	300
station	299
wednesday	299
equal	299
rest	299
counsel	298
approach	298
newspaper	297
buyout	297
agent	297
responsible	295
wide	295
fire	294
themselves	294
discount	293
join	291
discuss	290
regulator	289
original	289
night	289
purpose	289
fourth	288
gulf	288
challenge	287
j.	287
anything	287
contend	286
sure	286
ally	286
advertise	286
split	285
surplus	285
land	284
let	284
fair	283
trial	283
water	283
team	283
hearing	282
thus	281
practice	281
flight	281
date	280
mrs.	280
s&p	279
de	279
farm	279
primary	278
lawsuit	278
social	278
oppose	278
aim	278
settlement	277
shop	277
chain	277
community	277
focus	276
experience	275
navy	274
expense	273
launch	273
establish	273
survey	273
feel	272
seat	272
cable	272
hurt	272
negotiation	271
over-the-counter	270
space	270
bear	270
actual	270
block	269
movie	268
behind	267
friend	267
hotel	267
double	266
happen	265
avoid	265
barrel	265
aide	264
texaco	264
plc	262
weapon	261
calif.	261
game	260
competitive	260
reject	259
hire	259
decide	259
nothing	259
regulatory	258
describe	257
nine	257
obtain	257
fast	257
ford	257
necessary	257
picture	256
adjust	256
capacity	255
dr.	255
burlington	255
ibm	255
together	255
rising	255
identify	254
response	254
retire	253
narrow	252
fine	252
specific	251
kidder	250
promise	250
exceed	250
via	250
tie	250
broadcast	250
document	250
active	249
transportation	249
reduction	249
word	248
worth	248
broad	248
opposition	248
authorize	248
introduce	247
various	247
majority	247
flow	247
chance	247
regulation	247
protect	247
bar	247
strike	247
eventual	246
at&t	246
hit	246
subordinate	245
profitable	245
lend	245
indeed	244
commerce	244
liability	243
below	243
evidence	243
amendment	242
restaurant	242
employer	242
prove	242
competitor	241
generate	241
apply	241
middle	240
police	240
enter	240
chip	240
coming	239
journal	239
retain	239
phone	239
republican	238
assume	238
basic	238
age	238
johnson	238
spring	237
prosecutor	237
convert	237
sense	237
underwriter	236
refuse	235
willing	235
jump	235
rally	235
mutual	234
france	234
beginning	234
semiconductor	234
district	234
angeles	234
fly	234
room	234
harcourt	233
a.	233
china	233
sector	233
petroleum	233
consultant	233
declare	232
leverage	232
rumor	232
history	232
perhaps	232
prospect	232
passenger	232
retailer	232
